analysis_label,paper_label,regime_type,regime,series,n_seeds,mean_avg,mean_std,p05_avg,p05_std,cvar05_avg,cvar05_std,shortfall_prob_avg,shortfall_prob_std
proto_mean,ProtoHedge (Mean frontier),drawdown_regime,deep_dd,proto_mean_gains,3,1.8173260588171305,0.0874902881105541,0.11519663631916051,0.06476815291981533,-0.046586415937377355,0.05820360573191871,0.031111111111111114,0.011758894715842624
proto_tail,ProtoHedge (Tail frontier),drawdown_regime,deep_dd,proto_tail_gains,3,1.794978770016244,0.0530873580819483,0.13803291122118633,0.03865498276301089,-0.0017805155625359888,0.058392372977302,0.01925925925925926,0.005132002392796674
spot_delta,Spot-Delta,drawdown_regime,deep_dd,spot_delta_gains,3,-0.029552006561964477,0.000658341005417952,-0.06730402608712514,0.004177686185219571,-0.07944762199703191,0.0004842461868255914,0.9718518518518519,0.014286890016285823
unhedged,Unhedged,drawdown_regime,deep_dd,unhedged_gains,3,-0.03125460960246899,0.0005654509613634053,-0.06982252597808837,0.0034086598741633967,-0.08284339971012539,0.0030272091622735534,0.9451851851851852,0.015608375930152227
vanilla,Vanilla DH,drawdown_regime,deep_dd,vanilla_gains,3,1.8197853732878275,0.08814783662051823,0.11072551657756169,0.050909671444199736,-0.015023866053929344,0.0596641325869145,0.02666666666666667,0.016024672335395507
proto_mean,ProtoHedge (Mean frontier),drawdown_regime,mid_dd,proto_mean_gains,3,1.6317700380487146,0.057545914753269055,0.15601090316971145,0.11159520862101545,-0.015097842913948827,0.08195338982562735,0.025297619047619044,0.009293151783330948
proto_tail,ProtoHedge (Tail frontier),drawdown_regime,mid_dd,proto_tail_gains,3,1.6505762088345364,0.042734284998141185,0.2153611211727063,0.09995659694006961,0.05197824506709973,0.08485406533940426,0.014880952380952382,0.006819309069874761
spot_delta,Spot-Delta,drawdown_regime,mid_dd,spot_delta_gains,3,-0.021785639413814176,0.002521983744415916,-0.06849798522889615,0.0059892314327520705,-0.09736704722874694,0.01141642479223655,0.8407738095238096,0.02013057925367365
unhedged,Unhedged,drawdown_regime,mid_dd,unhedged_gains,3,-0.022417624791463215,0.002373375963986121,-0.06884143948554992,0.004501230300352551,-0.10218955741988289,0.01272769808669735,0.7291666666666666,0.024587368514670013
vanilla,Vanilla DH,drawdown_regime,mid_dd,vanilla_gains,3,1.647749483309391,0.062487489498224656,0.19292201027274133,0.05115056783250919,0.019323138542757887,0.051163389161470806,0.022321428571428572,0.004464285714285715
proto_mean,ProtoHedge (Mean frontier),drawdown_regime,mild_dd,proto_mean_gains,3,1.4906183515268345,0.04594726727292723,0.10097637275854748,0.07043186375981357,-0.07376214986046155,0.1015906047326073,0.02666666666666667,0.01602467233539551
proto_tail,ProtoHedge (Tail frontier),drawdown_regime,mild_dd,proto_tail_gains,3,1.4693809317618056,0.015377137502731963,0.09483554239074392,0.06457876402438992,-0.07295019901357591,0.05836225849837985,0.0325925925925926,0.014286890016285858
spot_delta,Spot-Delta,drawdown_regime,mild_dd,spot_delta_gains,3,-0.011455458654953099,0.0018501753822727219,-0.05777535339196523,0.004277798703759987,-0.08738560260583957,0.0167546318149649,0.642962962962963,0.014286890016285825
unhedged,Unhedged,drawdown_regime,mild_dd,unhedged_gains,3,-0.010019868038318775,0.0013232487460220984,-0.05738021532694498,0.00815789879839572,-0.09314456250932483,0.016674142039005926,0.28,0.008888888888888877
vanilla,Vanilla DH,drawdown_regime,mild_dd,vanilla_gains,3,1.5120541020093003,0.05424085896259732,0.10021633381644889,0.08607719438137777,-0.09039370700742844,0.08170296773116133,0.0325925925925926,0.017962008374788358
proto_mean,ProtoHedge (Mean frontier),return_regime,down,proto_mean_gains,3,1.5293982514076763,0.010530628349442371,0.1330375780661901,0.09983944086535873,-0.010587070861624345,0.09691788716679466,0.025185185185185185,0.012830005981991684
proto_tail,ProtoHedge (Tail frontier),return_regime,down,proto_tail_gains,3,1.5247172439298418,0.032891984751741016,0.14985678642988207,0.06538826564523792,0.005961403418849741,0.0734678796358576,0.022222222222222223,0.008888888888888885
spot_delta,Spot-Delta,return_regime,down,spot_delta_gains,3,-0.002479311531426868,0.0003632344687074734,-0.023365046580632525,0.0025608122347054053,-0.03581286299352845,0.003636167343051683,0.5659259259259258,0.015608375930152197
unhedged,Unhedged,return_regime,down,unhedged_gains,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,Vanilla DH,return_regime,down,vanilla_gains,3,1.5596152574689714,0.0017708999750087418,0.1731768717368444,0.08691957494597281,0.00987689069653344,0.01375587262151764,0.023703703703703703,0.0067890010295642055
proto_mean,ProtoHedge (Mean frontier),return_regime,middle,proto_mean_gains,3,1.67493238309232,0.09932038997784004,0.11654516768952211,0.04536080024893746,-0.06080971425399184,0.04985867246397336,0.026785714285714284,0.004464285714285716
proto_tail,ProtoHedge (Tail frontier),return_regime,middle,proto_tail_gains,3,1.67995881433862,0.12727327510397188,0.13239963278174402,0.028853172963752206,-0.02280870091635734,0.0696086189440979,0.017857142857142856,0.008928571428571428
spot_delta,Spot-Delta,return_regime,middle,spot_delta_gains,3,-0.013988949547833076,0.001245247335948338,-0.03276595249772072,0.0027261078971944604,-0.04089206798623005,0.002797598116416311,0.8943452380952381,0.018586303566661883
unhedged,Unhedged,return_regime,middle,unhedged_gains,3,-0.013798555980126062,0.0010919001656496878,-0.0256817619005839,0.000544143336592527,-0.026276134782367285,0.0007575444438052885,0.9553571428571429,0.011811389781538329
vanilla,Vanilla DH,return_regime,middle,vanilla_gains,3,1.674493365857329,0.10637129127848867,0.15261097997426987,0.01638061011041618,-0.010306710946477124,0.06337604471277962,0.022321428571428572,0.00892857142857143
proto_mean,ProtoHedge (Mean frontier),return_regime,up,proto_mean_gains,3,1.7355756465373215,0.15716153866820215,0.1256867598742247,0.10908204927119411,-0.05478770347932974,0.09691585048271634,0.031111111111111114,0.020367003088692624
proto_tail,ProtoHedge (Tail frontier),return_regime,up,proto_tail_gains,3,1.7103904417019198,0.13547231080457875,0.1247754755119483,0.09314485612516825,-0.03163895916400684,0.08396885132891117,0.02666666666666667,0.01602467233539551
spot_delta,Spot-Delta,return_regime,up,spot_delta_gains,3,-0.0462901915965119,0.0019081843480439297,-0.08884511440992356,0.00666521587341663,-0.11858440480298467,0.01062061284215871,0.9955555555555556,0.004444444444444404
unhedged,Unhedged,return_regime,up,unhedged_gains,3,-0.04985523947963008,0.001608742300105843,-0.0907365878423055,0.0057276590430707765,-0.12825033730930752,0.004996758087127332,1.0,0.0
vanilla,Vanilla DH,return_regime,up,vanilla_gains,3,1.7455991969804314,0.1490520626851696,0.08582277732590836,0.08153939953459453,-0.08898159443439606,0.11926186580510244,0.035555555555555556,0.015396007178390021
proto_mean,ProtoHedge (Mean frontier),vol_regime,high_vol,proto_mean_gains,3,1.9090606518289832,0.06526425966235774,0.1443680346012116,0.024664424123649213,-0.08388167716717969,0.04623420278811075,0.025185185185185185,0.002566001196398337
proto_tail,ProtoHedge (Tail frontier),vol_regime,high_vol,proto_tail_gains,3,1.8887630591831275,0.05351112260720638,0.1506402224302292,0.03292582686158494,-0.07198750344105065,0.05621651215035591,0.023703703703703703,0.009251848886516143
spot_delta,Spot-Delta,vol_regime,high_vol,spot_delta_gains,3,-0.022079520009746948,0.0008800296473668021,-0.07875206172466277,0.0005620597194537884,-0.1140733603388071,0.007768348655006869,0.8118518518518519,0.013578002059128388
unhedged,Unhedged,vol_regime,high_vol,unhedged_gains,3,-0.021859997819971156,0.0008099654650850504,-0.07753130594889322,0.002011934300715678,-0.12126677566104464,0.00520694227974144,0.5925925925925926,0.009251848886516166
vanilla,Vanilla DH,vol_regime,high_vol,vanilla_gains,3,1.9483383366465568,0.05332846506889696,0.20603120625019078,0.02427555351493867,-0.03765193517837259,0.07017246904055174,0.022222222222222223,0.011758894715842625
proto_mean,ProtoHedge (Mean frontier),vol_regime,low_vol,proto_mean_gains,3,1.3218737159759082,0.09336211043230197,0.09508708510547881,0.09921392692067162,-0.02778353851236817,0.06279884381739968,0.02666666666666667,0.027034500134658752
proto_tail,ProtoHedge (Tail frontier),vol_regime,low_vol,proto_tail_gains,3,1.3243358207100797,0.05655648852832936,0.13403438280026117,0.10368943491679676,0.015480197177061604,0.07874975004908258,0.023703703703703703,0.014286890016285858
spot_delta,Spot-Delta,vol_regime,low_vol,spot_delta_gains,3,-0.022596879259001945,0.0004947972605434878,-0.06255494107802709,0.003844917879643638,-0.07538553130709462,0.0018224322760409287,0.8622222222222223,0.011758894715842585
unhedged,Unhedged,vol_regime,low_vol,unhedged_gains,3,-0.023074072555259423,0.0007329224121119623,-0.06521079540252685,0.0035698500581829696,-0.07702255911297268,0.0011059996002712057,0.7555555555555555,0.01777777777777778
vanilla,Vanilla DH,vol_regime,low_vol,vanilla_gains,3,1.285813836254076,0.07860984880825672,0.04936562565465769,0.08554466826538858,-0.0744181743713044,0.08345394958904215,0.04296296296296296,0.02236987980820963
proto_mean,ProtoHedge (Mean frontier),vol_regime,mid_vol,proto_mean_gains,3,1.7091238754205518,0.03750543779665402,0.22182654210676753,0.1558662008436409,0.0013160903472453356,0.06464240305290749,0.03125,0.00892857142857143
proto_tail,ProtoHedge (Tail frontier),vol_regime,mid_vol,proto_tail_gains,3,1.7020658736742222,0.02332179731812061,0.1575139656662941,0.036992709026171244,0.009893005597405136,0.017376506644960314,0.019345238095238092,0.0068193090698747605
spot_delta,Spot-Delta,vol_regime,mid_vol,spot_delta_gains,3,-0.01810032619210861,0.0026009512670831848,-0.0553583179290096,0.004240961993676879,-0.07192162869291173,0.009330504964151939,0.78125,0.03654175344585913
unhedged,Unhedged,vol_regime,mid_vol,unhedged_gains,3,-0.01874169458945592,0.0028179099585816593,-0.06136562824249268,0.008324028792659735,-0.07766146461168925,0.013186167390158987,0.6056547619047619,0.0360843918243516
vanilla,Vanilla DH,vol_regime,mid_vol,vanilla_gains,3,1.7458728897344418,0.03990503514323566,0.2619600335756938,0.10336279007261891,0.07884868359219076,0.06436825834279701,0.01636904761904762,0.0068193090698747605
